Indices,Distance,Amplitude,Flag,X,Y,Z,Timestamp
7,3.4109344,86.46644,1,2.552172,-2.262939,0.0,984494
6,3.12883,107.22987,1,2.7181385,-1.549613,0.0,984494
5,2.69812,117.88493,1,2.5687795,-0.8253631,0.0,984494
4,2.418213,236.71693,1,2.40524,-0.2501485,0.0,984494
3,2.3401337,329.72028,1,2.3275795,0.24207172,0.0,984494
2,2.3817139,229.38396,1,2.267541,0.72857344,0.0,984494
1,2.4964142,197.74185,1,2.1687338,1.2363969,0.0,984494
0,1.7390442,310.14618,1,1.3012093,1.1537457,0.0,984494
7,3.3883057,84.96494,1,2.5352404,-2.2479262,0.0,984703
6,3.1284485,108.15955,1,2.717807,-1.549424,0.0,984703
5,2.6981354,118.760155,1,2.568794,-0.82536775,0.0,984703
4,2.4137878,217.43098,1,2.4008386,-0.24969077,0.0,984703
3,2.3398132,330.8535,1,2.327261,0.24203858,0.0,984703
2,2.3819427,229.2076,1,2.2677588,0.7286435,0.0,984703
1,2.4964905,197.76553,1,2.1688,1.2364347,0.0,984703
0,1.7393799,309.153,1,1.3014605,1.1539683,0.0,984703
7,3.3742218,84.43988,1,2.5247023,-2.2385824,0.0,984912
6,3.1254425,107.95974,1,2.7151957,-1.5479352,0.0,984912
5,2.6903687,103.058586,1,2.5613997,-0.8229919,0.0,984912
4,2.4142609,226.91039,1,2.4013093,-0.2497397,0.0,984912
3,2.3397522,330.6311,1,2.3272002,0.24203226,0.0,984912
2,2.3819275,229.3723,1,2.2677443,0.7286388,0.0,984912
1,2.4961548,197.9287,1,2.1685085,1.2362684,0.0,984912
0,1.7358093,312.5219,1,1.2987889,1.1515995,0.0,984912
7,3.374817,83.73152,1,2.5251477,-2.2389772,0.0,985121
6,3.1274261,107.16544,1,2.716919,-1.5489177,0.0,985121
5,2.6971893,116.84565,1,2.5678933,-0.82507837,0.0,985121
4,2.418335,235.92981,1,2.4053614,-0.25016114,0.0,985121
3,2.3401184,330.1677,1,2.3275645,0.24207015,0.0,985121
2,2.3819122,229.27913,1,2.2677298,0.7286341,0.0,985121
1,2.4962006,198.01924,1,2.1685483,1.2362912,0.0,985121
0,1.7370453,311.45636,1,1.2997137,1.1524194,0.0,985121
7,3.3482666,85.0634,1,2.5052817,-2.2213628,0.0,985330
6,3.1296387,107.31648,1,2.718841,-1.5500135,0.0,985330
5,2.7002869,121.49419,1,2.5708423,-0.8260259,0.0,985330
4,2.4139557,216.89328,1,2.4010055,-0.24970813,0.0,985330
3,2.3395996,330.9407,1,2.3270485,0.24201648,0.0,985330
2,2.3819885,229.24979,1,2.2678025,0.7286575,0.0,985330
1,2.4961548,197.8384,1,2.1685085,1.2362684,0.0,985330
0,1.7372437,310.36804,1,1.2998621,1.152551,0.0,985330
