Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
16863378,8,19.43,2.77,2.07,-1.84,0,1
16863378,7,23.45,2.35,2.04,-1.16,0,1
16863378,6,27.01,2.21,2.1,-0.68,0,1
16863378,5,42.34,2.05,2.04,-0.21,0,1
16863378,4,43.15,2.06,2.05,0.21,0,1
16863378,3,25.12,2.19,2.08,0.67,0,1
16863378,2,17.22,2.27,1.98,1.13,0,1
16863378,1,12.84,2.74,2.05,1.82,0,1
16863587,8,19.43,2.77,2.07,-1.83,0,1
16863587,7,23.36,2.35,2.04,-1.16,0,1
16863587,6,26.97,2.21,2.1,-0.68,0,1
16863587,5,42.38,2.05,2.04,-0.21,0,1
16863587,4,43.15,2.06,2.05,0.21,0,1
16863587,3,25.13,2.19,2.08,0.67,0,1
16863587,2,17.25,2.27,1.98,1.13,0,1
16863587,1,12.97,2.74,2.05,1.82,0,1
16863796,8,19.41,2.77,2.07,-1.83,0,1
16863796,7,23.37,2.35,2.04,-1.16,0,1
16863796,6,26.91,2.21,2.1,-0.68,0,1
16863796,5,42.34,2.05,2.04,-0.21,0,1
16863796,4,43.12,2.06,2.05,0.21,0,1
16863796,3,25.15,2.19,2.08,0.67,0,1
16863796,2,17.16,2.27,1.98,1.13,0,1
16863796,1,13.02,2.75,2.06,1.82,0,1
16864005,8,19.43,2.76,2.07,-1.83,0,1
16864005,7,23.41,2.35,2.04,-1.16,0,1
16864005,6,26.96,2.21,2.1,-0.68,0,1
16864005,5,42.31,2.05,2.04,-0.21,0,1
16864005,4,43.12,2.06,2.05,0.21,0,1
16864005,3,25.19,2.19,2.08,0.67,0,1
16864005,2,17.19,2.27,1.98,1.13,0,1
16864005,1,13.05,2.74,2.05,1.82,0,1
16864214,8,19.39,2.76,2.07,-1.83,0,1
16864214,7,23.35,2.35,2.04,-1.16,0,1
16864214,6,26.95,2.21,2.1,-0.68,0,1
16864214,5,42.34,2.05,2.04,-0.21,0,1
16864214,4,43.13,2.06,2.05,0.21,0,1
16864214,3,25.1,2.19,2.08,0.67,0,1
16864214,2,17.23,2.27,1.98,1.13,0,1
16864214,1,13.03,2.74,2.05,1.82,0,1
16864423,8,19.39,2.76,2.07,-1.83,0,1
16864423,7,23.4,2.35,2.04,-1.16,0,1
16864423,6,26.97,2.21,2.11,-0.68,0,1
16864423,5,42.29,2.05,2.04,-0.21,0,1
16864423,4,43.11,2.06,2.05,0.21,0,1
16864423,3,25.08,2.19,2.08,0.67,0,1
16864423,2,17.2,2.27,1.98,1.13,0,1
16864423,1,12.97,2.74,2.05,1.82,0,1
16864631,8,19.42,2.76,2.07,-1.83,0,1
16864631,7,23.42,2.35,2.04,-1.16,0,1
16864631,6,27.02,2.21,2.1,-0.68,0,1
16864631,5,42.35,2.05,2.04,-0.21,0,1
16864631,4,43.15,2.06,2.05,0.21,0,1
16864631,3,25.15,2.19,2.08,0.67,0,1
16864631,2,17.23,2.28,1.98,1.13,0,1
16864631,1,12.82,2.74,2.05,1.82,0,1
16864840,8,19.41,2.76,2.07,-1.83,0,1
16864840,7,23.39,2.35,2.04,-1.16,0,1
16864840,6,26.97,2.21,2.1,-0.68,0,1
16864840,5,42.35,2.05,2.04,-0.21,0,1
16864840,4,43.09,2.06,2.05,0.21,0,1
